Item,Quantity,Link
RC Controller and Reciever,1,Link
Water Proof Servo,1,Link
WaterProof Burshed Motor,1,Link
Acceleromter Module,1,Link
Shaft Coupler (Motor to prop),1,Link
Shaft to Prop 3.1mm,1,Link
Prop Assembly,1,Link
LiPo Battery,1,Link
LiPo Battery Charger,1,Link
Circuit Boards,1,Link
